Date,Tail_Number,Event_Type,Standardized_Component,Component_Description
6/28/2023 0:00,N64527,Replacement,Miscellaneous,Aircraft Part Miscellaneous hardware
6/28/2023 0:00,N64527,Replacement,PTT Switch,Aircraft Part PTT- Switch
7/11/2023 0:00,N64527,Replacement,Inner Tube,Aircraft Part Leak guard inner tube
7/11/2023 0:00,N64527,Replacement,Gasket,Aircraft Part Fuel cap gasket and cotter pins
7/11/2023 0:00,N64527,Replacement,Tire,Aircraft Part Air Hawk 6.0-6 6ply tire
7/11/2023 0:00,N64527,Replacement,Oil,Aircraft Part Phillips 20W-50 oil
7/11/2023 0:00,N64527,Replacement,Oil Filter,Aircraft Part Tempest 110 oil filter
7/11/2023 0:00,N64527,Replacement,Seat Rail,Aircraft Part Inbound LH seat rail and LH out bound seat rails.
8/7/2023 0:00,N8184G,Replacement,Tire,Aircraft Part Air Hawk 6.00-6 6ply tire
8/7/2023 0:00,N8184G,Replacement,Brake Lining,Aircraft Part APS 105 Brake lining pads
8/7/2023 0:00,N8184G,Replacement,Air Filter,Aircraft Part BA-6108 Air filter
8/7/2023 0:00,N8184G,Replacement,Oil,Aircraft Part Phillips 20W-50 oil
8/7/2023 0:00,N8184G,Replacement,Oil Filter,Aircraft Part Tempest 103 oil filter
8/7/2023 0:00,N8184G,Replacement,Oil,Aircraft Part 1 Quart
8/7/2023 0:00,N8184G,Replacement,Miscellaneous,Aircraft Part Miscellaneous hardware
8/7/2023 0:00,N8184G,Replacement,Inner Tube,Aircraft Part TR 20 Inner tube
8/7/2023 0:00,N8184G,Replacement,Placard,Aircraft Part Placard
9/7/2023 0:00,N64527,Replacement,Gasket,Aircraft Part Valve cover gasket
9/7/2023 0:00,N64527,Replacement,Duct,Aircraft Part 2ft Scat tubing
9/7/2023 0:00,N64527,Replacement,Fairing,Aircraft Part Strut to fuselage Fairing
9/7/2023 0:00,N64527,Replacement,Spinner Plate,Aircraft Part Spinner Rear Plate
9/7/2023 0:00,N64527,Replacement,Oil Filter,Aircraft Part Tempest 110 oil filter
9/7/2023 0:00,N64527,Replacement,Miscellaneous,Aircraft Part Miscellaneous hardware
9/7/2023 0:00,N64527,Replacement,Oil,Aircraft Part Phillips 20W-50
9/7/2023 0:00,N64527,Replacement,Spark Plug,Aircraft Part Copper spark plug
9/25/2023 0:00,N64527,Replacement,Alternator,Aircraft Part Hartzell Alternator OH
9/25/2023 0:00,N64527,Replacement,Core Charge,Aircraft Part Alternator core charge
9/25/2023 0:00,N64527,Replacement,Starter,Aircraft Part Sky-Tec starter
9/25/2023 0:00,N9863L,Replacement,Hose,Aircraft Part Braided hose
9/25/2023 0:00,N64527,Replacement,Core Charge,Aircraft Part Starter core charge
10/6/2023 0:00,N64527,Replacement,Alternator,Aircraft Part Alternator core return refund -1 200.00 -200.00
10/6/2023 0:00,N64527,Replacement,Contactor,Aircraft Part Cessna Contactor
10/6/2023 0:00,N64527,Replacement,Starter,Aircraft Part Starter core exchange charge
10/6/2023 0:00,N64527,Replacement,Miscellaneous,Aircraft Part Miscellaneous hardware (Terminal ends)
10/6/2023 0:00,N64527,Replacement,Starter,Aircraft Part Sky-tec Starter
10/14/2023 0:00,N9863L,Replacement,Battery,Aircraft Part Sealed battery
11/6/2023 0:00,N64527,Replacement,Battery,Aircraft Part Sealed battery
11/6/2023 0:00,N8184G,Replacement,Battery,Aircraft Part ELT Battery
11/29/2023 0:00,N9863L,Replacement,Tire,Aircraft Part Air Hawk Tire
11/29/2023 0:00,N9863L,Replacement,Bulb,Aircraft Part Nav light bulb
11/29/2023 0:00,N9863L,Replacement,Tire,Aircraft Part Air Hawk Tire 5.00-5 tire
11/29/2023 0:00,N9863L,Replacement,Inner Tube,Aircraft Part Leak guard 5.00-5 inner tube
11/29/2023 0:00,N9863L,Replacement,Inner Tube,Aircraft Part Leak guard 6.00-6 inner tube
11/29/2023 0:00,N9863L,Replacement,Brake Lining,Aircraft Part 4x Brake lining pads and 8x rivets
12/11/2023 0:00,N8184G,Replacement,Engine Heater,Aircraft Part E-Z Engine heater pad
1/3/2024 0:00,N8184G,Replacement,Miscellaneous,Aircraft Part Miscellaneous hardware
1/3/2024 0:00,N8184G,Replacement,Bearing,Aircraft Part Bearing
1/3/2024 0:00,N8184G,Replacement,Instrument Filter,Aircraft Part Rapco filter
1/3/2024 0:00,N8184G,Replacement,Air Filter,Aircraft Part Air filter
1/3/2024 0:00,N8184G,Replacement,_UNMAPPED_,Aircraft Part Aero Shell 15W-50
1/3/2024 0:00,N8184G,Replacement,Oil Filter,Aircraft Part Tempest 103 oil filter
1/3/2024 0:00,N8184G,Replacement,Seat Stop Kit,Aircraft Part Seat stop kit
1/3/2024 0:00,N8184G,Replacement,Door Stop,Aircraft Part Door stop
1/24/2024 0:00,N64527,Replacement,Miscellaneous,Aircraft Part Miscellaneous hardware
1/24/2024 0:00,N64527,Replacement,Oil Filter,Aircraft Part Tempest 110 oil filter
1/24/2024 0:00,N64527,Replacement,Oil,Aircraft Part Phillips 20W-50
